Area_code_L3	BodySize	FruitSize	LEVEL_NAME	REGION_NAM	CONTINENT	THREEREALM	REALM_LONG	NEOPALEO	AREA_KM2	LAT	LONG	X_COORD	Y_COORD	PREC_Sum	PREC_CV	P_drie_quart	Tmean_mean	T_cold_quart	Temp_SD	Tmin_cold_month	NPP_mean	NPP_median	ensLGM_Pmean	ensLGM_Tmean	Soil
AGE	866879.4091	2.072222222	Argentina Northeast	Southern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	1122740.582	-32.60227282	-61.25823213	-5905610.404	-3910806.241	865.2147	41.4994	104.3043	176.511525	115.368	4783.3511	49.7695	6092.93	6288	879.1235	143.4748	48.4924
AGW	979239.8857	1.05	Argentina Northwest	Southern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	873300.0155	-29.14959235	-66.36119562	-6398651.514	-3538812.276	395.1399	75.698	20.9192	146.2130083	84.3727	4648.105	2.4077	3659.31	3076	409.4673	110.8526	58.72051
ALA	902219.019	1.616666667	Alabama	Southeastern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	134424.8059	32.79389912	-86.82906784	-8377890.491	3961523.217	1445.9321	19.6753	274.8662	169.6384417	75.3952	7062.312	2.5529	6658.74	6438	1693.4501	34.7098	40.8866
ALG	1111643.4	2.23	Algeria	Northern Africa	AFRICA	OWWest	Palearctic	Old World	2317502.041	28.16335741	2.632365947	254472.4283	3425082.508	79.9964	66.9825	6.1152	229.4684917	131.4124	7508.1387	50.4962	2043.96	1401	126.1846	213.5089	42.22218
AND	349	2.11	Andaman Is.	Indo-China	ASIA-TROPICAL	OWEast	IndoMalay	Old World	5930.963755	12.27981668	92.78133014	8952075.257	1554429.397	2922.9719	75.5446	69.7407	265.5384917	258.3032	669.7572	224.0162	15579	17138	2811.7681	253.9907	34.56086
ANG	393944.55	4.969230769	Angola	South Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	1240509.361	-12.33575541	17.57181621	1695227.757	-1554985.049	1020.4399	91.6658	4.4508	215.954125	187.6758	1862.7209	94.8465	7658.6	7783	891.8901	190.8707	67.4325
ARI	991385.0556	0.6	Arizona	Southwestern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	294228.8807	34.29669616	-111.6575963	-10773225.91	4120112.905	320.6145	49.2712	30.4446	150.1526917	56.9123	7527.0928	-24.1694	1769.61	1486	587.5712	66.2018	46.35209
ARK	840171.4217	0.8	Arkansas	Southeastern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	137545.6345	34.90084347	-92.44235749	-8919596.202	4186449.603	1263.4662	18.317	255.9293	156.9042	48.2229	8084.8101	-25.1837	5469.65	5498	1785.1471	-42.5277	37.79106
ASS	638047.7056	2.334146341	Assam	Indian Subcontinent	ASIA-TROPICAL	OWEast	IndoMalay	Old World	171289.3543	25.48271994	92.85194347	8958665.048	3145187.498	2500.3132	85.664	50.0547	225.1418167	168.6252	3721.4417	95.2841	9476.54	9094	2623.05	197.0592	32.85338
BAH	22763.39167	1.228888889	Bahamas	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	12812.50482	24.1666829	-76.5004385	-7379381.122	2991044.931	1043.1108	54.7133	113.3606	251.600275	220.4866	2331.9294	181.7657	12389.4	12168	798.149	227.6978	42.65654
BAL	8866	2.23	Baleares	Southwestern Europe	EUROPE	OWWest	Palearctic	Old World	5101.60632	39.55938907	2.900068554	279543.8745	4663445.719	587.5293	48.6946	50.5468	162.0914417	102.7507	5108.7637	62.6722	9895.35	9233	691.1954	135.9776	40.13033
