LEVEL_3_CO	LEVEL_NAME	CONTINENT	FruitSize	Frugivore	BodySize	Soil	THREEREALM	REALM_LONG	X_COORD	Y_COORD	PREC_Sum	PREC_CV	P_drie_quart	Tmean_mean	T_cold_quart	Temp_SD	Tmin_cold_month	NPP_mean	ensLGM_Pmean	ensLGM_Tmean	ensLGM_Pano	NPP_Mean
ANG	Angola	AFRICA	4.969230769	1	70027.92735	67.4325	OWWest	Afrotropics	1695227.757	-1554985.049	1020.4399	91.6658	4.4508	215.954125	187.6758	1862.7209	94.8465	7658.6	891.8901	190.8707	127.7702	70027.92735
BEN	Benin	AFRICA	6	1	88484.2333	56.11117	OWWest	Afrotropics	226035.1343	1223871.065	1062.9793	91.2453	14.4188	271.7743083	252.1247	1676.9091	184.7247	4939.25	1334.3163	246.0522	-270.9685	88484.2333
BKN	Burkina	AFRICA	10.1	1	137866.8392	55.55133	OWWest	Afrotropics	-168178.3106	1553710.855	763.9194	115.0352	3.5336	280.6313833	256.1678	2203.4683	167.2738	1851.89	1014.2462	257.9538	-250.422	137866.8392
BOT	Botswana	AFRICA	4.2	1	71006.45264	75.84473	OWWest	Afrotropics	2298318.81	-2755904.369	394.0371	91.4986	3.7219	208.1206917	146.4738	4307.9102	42.3307	3946.02	385.2087	179.0134	8.8438	171006.4526
BUR	Burundi	AFRICA	5.38	1	69048.80631	48.07817	OWWest	Afrotropics	2883672.738	-427886.1684	1192.3562	63.25	29.8631	197.2984417	190.9858	520.9893	123.4239	9834.47	787.056	176.2585	405.3903	9048.806306
CAB	Cabinda	AFRICA	4.764285714	1	62259.94655	56.79393	OWWest	Afrotropics	1202446.623	-642282.6399	1075.2412	81.0192	2.0132	247.1266833	218.7115	1836.748	174.9837	9717.6	920.9532	225.0621	153.3233	108259.9465
CAF	Central African Republic	AFRICA	4.889130435	1	74967.77511	56.04268	OWWest	Afrotropics	1975999.955	835549.46	1367.7963	76.4573	37.0247	248.9581833	236.5965	1114.2441	148.0143	6444.24	1131.9376	226.2045	235.8503	74967.77511
CHA	Chad	AFRICA	7.5625	1	131610.6689	57.27222	OWWest	Afrotropics	1800414.64	1924041.121	315.2694	141.4725	0.1647	269.2257917	219.4226	3651.8545	126.3779	1252.7	383.9903	243.3946	-68.7486	191610.6689
CMN	Cameroon	AFRICA	4.202777778	1	75085.68017	48.27737	OWWest	Afrotropics	1229275.222	722010.4055	1642.0809	73.4021	70.4897	242.7996	230.7501	1047.8479	170.8883	8666.36	1763.2546	214.914	-120.1338	55085.68017
COM	Comoros	AFRICA	3.428571429	1	58792.4	37.98145	OWWest	Afrotropics	4243312.064	-1530484.442	1938.6474	61.5975	184.2476	230.263275	211.9534	1274.8484	173.1871	17538.1	1983.4811	212.5858	-78.3049	68792.4
CON	Congo	AFRICA	4.166666667	1	68909.58064	52.9394	OWWest	Afrotropics	1469000.894	-106924.5384	1654.9675	51.5673	121.9804	244.9833667	233.3181	822.4451	181.9618	11197.5	1319.0582	218.9244	335.8439	58909.58064
CPP	South Africa	AFRICA	4.133333333	1	79298.85105	58.78635	OWWest	Afrotropics	2173178.984	-3751547.193	352.0818	52.2747	37.588	168.20745	107.2773	4536.7422	24.1386	3084.42	300.5871	141.2475	51.7322	120298.8511
CPV	Caprivi Strip	AFRICA	4.2	1	23013.98198	77.48788	OWWest	Afrotropics	2244035.468	-2249977.403	598.7307	109.5888	0.6899	218.380925	165.7727	3547.1099	57.4418	5845.79	615.5049	185.3916	-16.7246	235013.982
DJI	Djibouti	AFRICA	3.1	1	41498.24767	38.3168	OWWest	Afrotropics	4108159.536	1488623.804	172.2284	55.4232	22.456	280.4073917	235.2235	3628.8394	187.4578	1389.02	241.0686	247.328	-69.2467	11498.24767
