SpecName,accGenus,accSpecies,PalmTribe,PalmSubfamily,Climbing,Acaulescence,Errect,UnderstoreyCanopy,StemSolitary,MaxStemHeight_m,MaxStemDia_cm,StemArmed,LeavesArmed,MaxLeafNumber,Max_Blade_Length_m,Max_Rachis_Length_m,Max_Petiole_length_m,AverageFruitLength_cm,MinFruitLength_cm,MaxFruitLength_cm,AverageFruitWidth_cm,MinFruitWidth_cm,MaxFruitWidth_cm,FruitSizeBinary,FruitShape,FruitColor,FruitTexture,FruitColorChange,FruitNotes,Extra reference / note
Acanthophoenix crinita,Acanthophoenix,crinita,Areceae,Arecoideae,0,0,1,canopy,1,10,20,1,1,15,2.3,,,0.65,0.6,0.7,0.5,,,small,,black,,,,
Acanthophoenix rousselii,Acanthophoenix,rousselii,Areceae,Arecoideae,0,0,1,canopy,1,25,30,1,1,,3,,,2,,,0.8,,,small,ovoid,black,,,,
Acanthophoenix rubra,Acanthophoenix,rubra,Areceae,Arecoideae,0,0,1,canopy,1,15,18,1,1,20,3.1,3,,1,,,0.7,,,small,ovoid,black,,,,
Acoelorrhaphe wrightii,Acoelorrhaphe,wrightii,Trachycarpeae,Coryphoideae,0,0,1,canopy,0,9.1,15,0,1,25,1.3,0.7,0.65,0.7,,,0.7,0.5,0.9,small,ovoid,"orange- brown, becomming black",,1,,
Acrocomia aculeata,Acrocomia,aculeata,Cocoseae,Arecoideae,0,0,1,canopy,1,12,50,1,1,30,3.5,2.5,,4.25,3.5,5,4.6,3.8,5.4,large,ovoid,yellowish green,smooth,,Fruit: epicarp brittle and easily cracking at maturity,
Acrocomia crispa,Acrocomia,crispa,Cocoseae,Arecoideae,0,0,1,canopy,1,18,35,1,1,15,3,,0.65,2.5,,,1.8,,,small,globose,yellow to orange,,,,
Acrocomia emensis,Acrocomia,emensis,Cocoseae,Arecoideae,0,1,0,understorey,1,0,,1,1,,,,,2.00,,,2.00,,,small,,,,,,Kew herbaria
Acrocomia glaucescens,Acrocomia,glaucescens,Cocoseae,Arecoideae,0,0,1,,1,,,1,1,,,,,,,,,,,,,,,,,
Acrocomia hassleri,Acrocomia,hassleri,Cocoseae,Arecoideae,0,1,0,understorey,1,0,,1,1,6,0.9,0.54,0.51,2.25,1.5,3,2.25,1.5,3,small,,brown,minutely bristly,,,Field Guide to the Palms of the Americas
Acrocomia intumescens,Acrocomia,intumescens,Cocoseae,Arecoideae,0,0,1,,1,,,1,1,,,,,4.60,3.80,5.40,4.60,3.80,5.40,large,,,,,,Vianet al. 217
Acrocomia media,Acrocomia,media,Cocoseae,Arecoideae,0,0,1,canopy,1,15,30,1,1,,,,,,,,,,,,ovoid,,,,,
Acrocomia totai,Acrocomia,totai,Cocoseae,Arecoideae,0,0,1,,1,,,1,1,,,,,3.00,2.50,3.50,3.00,2.50,3.50,small,,,,,,Vianet al. 217
