LEVEL_3_CO,ID,LEVEL_NAME,REGION_NAM,CONTINENT,THREEREALM,REALM_LONG,NEOPALEO,AREA_M2,AREA_KM2,PERIMETER,LAT,LONG,X_COORD,Y_COORD,ISISLAND,PALMSR,PalmPresAbs,srtm_alt_mean,srtm_alt_median,srtm_alt_min,srtm_alt_max,alt_min0,alt_range,soilcount,PREC_Sum,PREC_CV,P_drie_quart,Tmean_mean,T_cold_quart,Temp_SD,Tmin_cold_month,GPP_mean,GPP_median,GPP_min,GPP_max,GPP_range,GPP_SD,NPP_mean,NPP_median,NPP_min,NPP_max,NPP_range,NPP_SD,GeologicalOrigin,Geology_3categ,DistToCont_m,DistToCont_km,NearestMainland,ensLGM_Pmean,ensLGM_Tmean,ensLGM_Pano,ensLGM_Tano,ccLGM_Tmean,ccLGM_Pmean,miLGM_Tmean,miLGM_Pmean,ccAnoTmean,ccAnoTmedian,miAnoTmean,miAnoTmedian,ccAnoPmean,ccAnoPmedian,miAnoPmean,miAnoPmedian,PLIO_PREC_30s,PLIO_TEMP_30s,PLIO_P_ANOM,PLIO_T_ANOM,Plio_Wmm_mean,Plio_Cmm_mean,Mio_Prec_Mean,Mio_Temp_Mean,VelocityMean,VelocityMedian,VelocityMeanLog,CH_Extent,CH_Mean,CH_Range,CH_CV,CH_Min,CH_Max,CH_Median,CH_SD,CH_Majority,CH_Sum,CH_Variety,CH_PercCover,CH_PercQuart4
ABT,1,Alberta,Western Canada,NORTHERN AMERICA,NewWorld,Nearctic,New World,6.63486E+11,663485.7939,3496267.738,55.16847238,-114.5109586,-11043827.26,5994294.492,0,0,0,750.5419,682,171,3517,171,3346,12,453.6297,52.0709,61.2229,2.939758333,-153.5484,11578.6377,-234.238,6802.24,7452,0,11973,11973,2362.55,4203.39,4487,0,7386,7386,1198.49,mainland,mainland,,,,215.4834,-212.546,238.1409,215.5242,-166.0177,197.1232,-258.58,234.3332,168.9925,169,261.5596,263,256.4983,267,219.2808,224,2540.03,29.9536,-2086.4,-26.9726,16.551,-10.8367,2.39373,5.28654,47.32500427,47.03839111,1.597650438,1,16.6042,63,0.466563881,1,64,15,7.74692,11,35129100,64,0.529506428,0.124131976
AFG,2,Afghanistan,Western Asia,ASIA-TEMPERATE,OWEast,Palearctic,Old World,6.41922E+11,641921.5302,5107476.031,33.83890116,66.02652977,6366940.308,4067812.665,0,1,1,1806.5535,1592,249,6596,249,6347,9,312.8776,91.8953,8.2195,116.1944167,-1.6351,8809.5713,-82.2688,1195.4,1326,0,11389,11389,1325.49,1285.56,1164,0,6702,6702,630.035,mainland,mainland,,,,386.3414,72.2405,-73.4593,43.9957,75.9175,241.2243,69.0721,531.9338,40.324,40,47.1609,45,71.6566,62,-219.0602,-218,784.381,161.443,-471.463,-45.2169,28.9168,1.2545,1.1536,16.5302,3.283541641,1.77073276,0.309460243,1,34.4254,35,0.178077524,14,49,33,6.13039,36,173814,18,0.001891635,0.001847425
AGE,3,Argentina Northeast,Southern South America,SOUTHERN AMERICA,NewWorld,Neotropics,New World,1.12274E+12,1122740.582,7862515.101,-32.60227282,-61.25823213,-5905610.404,-3910806.241,0,10,1,152.6551,98,-43,2672,0,2672,20,865.2147,41.4994,104.3043,176.511525,115.368,4783.3511,49.7695,11454.9,11523,0,33469,33469,4736.43,6092.93,6288,0,21938,21938,2426.88,mainland,mainland,,,,879.1235,143.4748,-13.9477,33.0674,138.8864,859.1566,148.5659,899.6234,37.6622,38,27.9711,27,5.9749,-8,-34.3348,-105,1910.71,197.619,-1045.74,-21.0837,27.4056,9.924,0.876328,19.1364,11.78028462,12.47097349,1.038795753,1,9.04206,35,1.152381205,1,36,3,10.4199,2,2909470,36,0.069740994,0.014659283
AGS,4,Argentina South,Southern South America,SOUTHERN AMERICA,NewWorld,Neotropics,New World,7.85015E+11,785015.2572,7870337.898,-44.4295885,-68.83039285,-6636937.546,-5084151.203,0,0,0,587.9982,484,-110,4658,0,4658,13,280.017,31.5464,44.365,95.667475,33.2916,4810.0254,-17.8416,2961.45,2304,0,21192,21192,2302.94,2058.79,1571,0,13577,13577,1474.74,mainland,mainland,,,,295.0297,48.0461,-15.1428,47.7117,42.5859,233.7416,54.0014,356.6998,53.1841,49,41.758,41,46.1474,35,-76.9153,-31,3022.73,85.9703,-2745.33,9.77065,14.1452,3.11641,4.36667,9.13874,6.25225846,5.34486866,0.69541398,1,23.3995,51,0.390173722,1,52,23,9.12987,25,3252160,52,0.036613566,0.018765691
AGW,5,Argentina Northwest,Southern South America,SOUTHERN AMERICA,NewWorld,Neotropics,New World,8.733E+11,873300.0155,5570632.941,-29.14959235,-66.36119562,-6398651.514,-3538812.276,0,2,1,1515.6372,773,55,6740,55,6685,13,395.1399,75.698,20.9192,146.2130083,84.3727,4648.105,2.4077,5819.31,4785,0,32085,32085,5355.22,3659.31,3076,0,20423,20423,2672.11,mainland,mainland,,,,409.4673,110.8526,-14.3111,35.4098,108.6886,385.1173,113.5204,434.3386,37.5802,37,32.771,33,10.0673,18,-39.2032,-40,1865.95,154.599,-1470.77,-8.34294,21.0607,6.71707,0.772909,17.799,6.508364997,3.746433854,0.539565858,1,9.14875,45,1.302188824,1,46,2,11.9134,2,3998620,44,0.126219623,0.027687532
ALA,6,Alabama,Southeastern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.34425E+11,134424.8059,1818389.1,32.79389912,-86.82906784,-8377890.491,3961523.217,0,2,1,144.9555,126,-1,689,0,689,7,1445.9321,19.6753,274.8662,169.6384417,75.3952,7062.312,2.5529,15435.5,15491,0,35929,35929,4054.08,6658.74,6438,794,20084,19290,1910.2,mainland,mainland,,,,1693.4501,34.7098,-247.5753,135.0193,-8.0882,1629.2562,78.0101,1758.1429,177.8239,179,91.7179,88,-183.2459,-190,-312.6672,-352,3170.97,190.623,-1725.27,-20.9335,30.41,6.43083,2.9324,23.9678,35.4825428,35.22953033,1.535174624,1,19.1693,62,0.266826123,1,63,19,5.11487,19,4902270,39,0.462899074,0.042118429
ALB,7,Albania,Southeastern Europe,EUROPE,OWWest,Palearctic,Old World,28676009671,28676.00967,942121.8248,41.1425475,20.06836716,1936417.329,4817244.799,0,0,0,697.976,638,-94,2462,0,2462,12,1145.3794,38.293,138.3656,113.9370083,34.9606,6275.0303,-8.9719,9879.96,9939,0,28913,28913,2721.52,6042.35,6039,588,17589,17001,1183.63,mainland,mainland,,,,1200.0609,78.6594,-54.883,35.78,78.0438,1085.1283,79.847,1315.6152,36.4088,35,34.5529,34,60.0294,47,-170.8144,-185,2615.92,165.696,-1473.33,-51.5915,25.3367,12.0633,3.887,23.308,1.425384303,0.867969573,0.027501457,1,24.6697,64,0.17669773,2,66,26,4.35908,26,338074,26,0.104439279,0.08362611
ALD,8,Aldabra,Western Indian Ocean,AFRICA,OWWest,Afrotropics,Old World,183171455.8,183.1714558,124514.471,-9.412816312,46.3834956,4475370.742,-1195568.578,1,0,0,4.6369,5,-1,11,0,11,1,1074.3885,72.4968,51.0127,260.27655,244.0382,1112.7771,215.8217,3098.98,0,0,30419,30419,7229.37,9950.77,9742,2088,19107,17019,4181.42,atoll,atoll,563654.1715,563.6541715,MOZ,1365.5696,242.1826,-291.8089,17.9554,244.0522,1495.6565,240.0739,1236.5479,15.9554,16,20.1128,20,-421.4013,-420,-162.2256,-161,3381.51,292.637,-2304.54,-32.4931,0,0,0,0,8.571428299,8.571428299,0.933053197,1,,,,,,,,,,,,
ALG,9,Algeria,Northern Africa,AFRICA,OWWest,Palearctic,Old World,2.3175E+12,2317502.041,7259494.464,28.16335741,2.632365947,254472.4283,3425082.508,0,1,1,557.7386,479,-48,2700,0,2700,14,79.9964,66.9825,6.1152,229.4684917,131.4124,7508.1387,50.4962,427.782,0,0,35877,35877,1695.16,2043.96,1401,0,21933,21933,2160.67,mainland,mainland,,,,126.1846,213.5089,-46.1239,15.9962,223.0403,88.8447,204.4652,163.9962,6.463,6,25.0432,25,-8.7952,7,-83.8794,-41,271.632,279.137,-191.624,-49.626,36.4053,14.116,1.36581,25.416,4.37684302,4.182107449,0.545847873,1,22.1329,30,0.137784927,17,47,22,3.04958,20,190586,15,0.000945441,0.000465419
ALT,10,Altay,Siberia,ASIA-TEMPERATE,OWEast,Palearctic,Old World,2.63329E+11,263328.6818,3490366.981,51.96816075,84.13072824,8121286.906,5769447.104,0,0,0,764.2426,288,78,4191,78,4113,17,443.9947,45.9944,53.8704,5.426491667,-158.7042,12556.585,-217.4528,5903.45,6155,0,12166,12166,2163.72,3284.5,3406,42,6800,6758,1005.9,mainland,mainland,,,,278.7313,-55.5177,165.2577,60.9849,-50.8471,290.4406,-59.7089,267.5423,56.304,58,65.1738,66,153.5626,164,176.4644,189,2432.07,40.4678,-1988.1,-34.9959,19.8676,-10.7009,2.37381,6.57424,11.54625326,10.41370678,0.82803304,1,15.9943,61,0.340290604,1,62,15,5.44271,15,6041570,48,0.257086464,0.020460362
