"SpecName"	"LEVEL_3_CO"
"Distoechurus_pennatus"	"NWG"
"Distoechurus_pennatus"	"BIS"
"Ailurus_fulgens"	"CHC"
"Ailurus_fulgens"	"CHT"
"Ailurus_fulgens"	"NEP"
"Ailurus_fulgens"	"IND"
"Ailurus_fulgens"	"ASS"
"Ailurus_fulgens"	"EHM"
"Anomalurus_beecrofti"	"GUI"
"Anomalurus_beecrofti"	"IVO"
"Anomalurus_beecrofti"	"SIE"
"Anomalurus_beecrofti"	"GHA"
"Anomalurus_beecrofti"	"BEN"
"Anomalurus_beecrofti"	"NGA"
"Anomalurus_beecrofti"	"LBR"
"Anomalurus_beecrofti"	"CMN"
"Anomalurus_beecrofti"	"CAF"
"Anomalurus_beecrofti"	"ZAI"
"Anomalurus_beecrofti"	"SUD"
"Anomalurus_beecrofti"	"GGI"
"Anomalurus_beecrofti"	"CON"
"Anomalurus_beecrofti"	"EQG"
"Anomalurus_beecrofti"	"GAB"
"Anomalurus_beecrofti"	"UGA"
"Anomalurus_beecrofti"	"RWA"
"Anomalurus_beecrofti"	"BUR"
"Anomalurus_beecrofti"	"CAB"
"Anomalurus_beecrofti"	"ANG"
"Anomalurus_derbianus"	"GUI"
"Anomalurus_derbianus"	"SIE"
"Anomalurus_derbianus"	"IVO"
"Anomalurus_derbianus"	"GHA"
"Anomalurus_derbianus"	"BEN"
"Anomalurus_derbianus"	"NGA"
"Anomalurus_derbianus"	"LBR"
"Anomalurus_derbianus"	"CMN"
"Anomalurus_derbianus"	"CAF"
"Anomalurus_derbianus"	"ZAI"
"Anomalurus_derbianus"	"GGI"
"Anomalurus_derbianus"	"CON"
"Anomalurus_derbianus"	"UGA"
"Anomalurus_derbianus"	"KEN"
"Anomalurus_derbianus"	"EQG"
"Anomalurus_derbianus"	"GAB"
"Anomalurus_derbianus"	"RWA"
"Anomalurus_derbianus"	"TAN"
"Anomalurus_derbianus"	"BUR"
"Anomalurus_derbianus"	"CAB"
"Anomalurus_derbianus"	"ANG"
"Anomalurus_derbianus"	"ZAM"
"Anomalurus_derbianus"	"MLW"
"Anomalurus_derbianus"	"MOZ"
"Anomalurus_pelii"	"GUI"
"Anomalurus_pelii"	"IVO"
"Anomalurus_pelii"	"GHA"
"Anomalurus_pelii"	"LBR"
"Anomalurus_pusillus"	"CMN"
"Anomalurus_pusillus"	"ZAI"
"Anomalurus_pusillus"	"UGA"
"Anomalurus_pusillus"	"EQG"
"Anomalurus_pusillus"	"GAB"
"Anomalurus_pusillus"	"CON"
"Anomalurus_pusillus"	"RWA"
"Anomalurus_pusillus"	"BUR"
"Idiurus_macrotis"	"GHA"
"Idiurus_macrotis"	"GUI"
"Idiurus_macrotis"	"IVO"
"Idiurus_macrotis"	"NGA"
"Idiurus_macrotis"	"CMN"
"Idiurus_macrotis"	"LBR"
"Idiurus_macrotis"	"ZAI"
"Idiurus_macrotis"	"EQG"
"Idiurus_macrotis"	"UGA"
"Idiurus_macrotis"	"RWA"
"Idiurus_macrotis"	"BUR"
"Idiurus_zenkeri"	"CMN"
"Idiurus_zenkeri"	"CAF"
"Idiurus_zenkeri"	"ZAI"
"Idiurus_zenkeri"	"EQG"
"Idiurus_zenkeri"	"UGA"
"Idiurus_zenkeri"	"RWA"
"Idiurus_zenkeri"	"BUR"
"Aotus_azarae"	"BZN"
"Aotus_azarae"	"BZE"
"Aotus_azarae"	"BZC"
"Aotus_azarae"	"BOL"
"Aotus_azarae"	"PER"
"Aotus_azarae"	"PAR"
"Aotus_azarae"	"AGW"
"Aotus_azarae"	"AGE"
"Aotus_brumbacki"	"CLM"
"Aotus_griseimembra"	"CLM"
"Aotus_griseimembra"	"VEN"
"Aotus_jorgehernandezi"	"CLM"
"Aotus_lemurinus"	"CLM"
"Aotus_lemurinus"	"ECU"
"Aotus_miconax"	"PER"
"Aotus_nancymaae"	"BZN"
"Aotus_nancymaae"	"PER"
"Aotus_nancymaae"	"ECU"
