"LEVEL_3_CO","meanFruitLength","curr_meanBodySize","presNat_meanBodySize","ID","LEVEL_NAME","REGION_NAM","CONTINENT","THREEREALM","REALM_LONG","NEOPALEO","AREA_M2","AREA_KM2","PERIMETER","LAT","LONG","X_COORD","Y_COORD","ISISLAND","PALMSR","PalmPresAbs","srtm_alt_mean","srtm_alt_median","srtm_alt_min","srtm_alt_max","alt_min0","alt_range","soilcount","PREC_Sum","PREC_CV","P_drie_quart","Tmean_mean","T_cold_quart","Temp_SD","Tmin_cold_month","GPP_mean","GPP_median","GPP_min","GPP_max","GPP_range","GPP_SD","NPP_mean","NPP_median","NPP_min","NPP_max","NPP_range","NPP_SD","GeologicalOrigin","Geology_3categ","DistToCont_m","DistToCont_km","NearestMainland","ensLGM_Pmean","ensLGM_Tmean","ensLGM_Pano","ensLGM_Tano","ccLGM_Tmean","ccLGM_Pmean","miLGM_Tmean","miLGM_Pmean","ccAnoTmean","ccAnoTmedian","miAnoTmean","miAnoTmedian","ccAnoPmean","ccAnoPmedian","miAnoPmean","miAnoPmedian","PLIO_PREC_30s","PLIO_TEMP_30s","PLIO_P_ANOM","PLIO_T_ANOM","Plio_Wmm_mean","Plio_Cmm_mean","Mio_Prec_Mean","Mio_Temp_Mean","VelocityMean","VelocityMedian","VelocityMeanLog","CH_Extent","CH_Mean","CH_Range","CH_CV","CH_Min","CH_Max","CH_Median","CH_SD","CH_Majority","CH_Sum","CH_Variety","CH_PercCover","CH_PercQuart4","PC1","PC2","PC3"
"AFG",1.3,11664.9486486486,11362.6684210526,2,"Afghanistan","Western Asia","ASIA-TEMPERATE","OWEast","Palearctic","Old World",6.41922e+11,641921.5302,5107476.031,33.83890116,66.02652977,6366940.308,4067812.665,0,1,1,1806.5535,1592,249,6596,249,6347,9,312.8776,91.8953,8.2195,116.1944167,-1.6351,8809.5713,-82.2688,1195.4,1326,0,11389,11389,1325.49,1285.56,1164,0,6702,6702,630.035,"mainland","mainland",NA,NA,"",386.3414,72.2405,-73.4593,43.9957,75.9175,241.2243,69.0721,531.9338,40.324,40,47.1609,45,71.6566,62,-219.0602,-218,784.381,161.443,-471.463,-45.2169,28.9168,1.2545,1.1536,16.5302,3.283541641,1.77073276,0.309460243,1,34.4254,35,0.178077524,14,49,33,6.13039,36,173814,18,0.001891635,0.001847425,-1.65652061584179,1.35184209451041,-0.520470060178509
"AGE",1.94545454545455,6464.35,6280.79714285714,3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","NewWorld","Neotropics","New World",1.12274e+12,1122740.582,7862515.101,-32.60227282,-61.25823213,-5905610.404,-3910806.241,0,10,1,152.6551,98,-43,2672,0,2672,20,865.2147,41.4994,104.3043,176.511525,115.368,4783.3511,49.7695,11454.9,11523,0,33469,33469,4736.43,6092.93,6288,0,21938,21938,2426.88,"mainland","mainland",NA,NA,"",879.1235,143.4748,-13.9477,33.0674,138.8864,859.1566,148.5659,899.6234,37.6622,38,27.9711,27,5.9749,-8,-34.3348,-105,1910.71,197.619,-1045.74,-21.0837,27.4056,9.924,0.876328,19.1364,11.78028462,12.47097349,1.038795753,1,9.04206,35,1.152381205,1,36,3,10.4199,2,2909470,36,0.069740994,0.014659283,-0.00434799697367209,0.125958013754763,0.596563456286456
"AGW",1.61666666666667,11195.6387755102,10972.22,5,"Argentina Northwest","Southern South America","SOUTHERN AMERICA","NewWorld","Neotropics","New World",8.733e+11,873300.0155,5570632.941,-29.14959235,-66.36119562,-6398651.514,-3538812.276,0,2,1,1515.6372,773,55,6740,55,6685,13,395.1399,75.698,20.9192,146.2130083,84.3727,4648.105,2.4077,5819.31,4785,0,32085,32085,5355.22,3659.31,3076,0,20423,20423,2672.11,"mainland","mainland",NA,NA,"",409.4673,110.8526,-14.3111,35.4098,108.6886,385.1173,113.5204,434.3386,37.5802,37,32.771,33,10.0673,18,-39.2032,-40,1865.95,154.599,-1470.77,-8.34294,21.0607,6.71707,0.772909,17.799,6.508364997,3.746433854,0.539565858,1,9.14875,45,1.302188824,1,46,2,11.9134,2,3998620,44,0.126219623,0.027687532,-0.627613613958588,1.25022236753609,0.172126178313974
"ALA",1.4875,7538.7125,7033.01666666667,6,"Alabama","Southeastern U.S.A.","NORTHERN AMERICA","NewWorld","Nearctic","New World",1.34425e+11,134424.8059,1818389.1,32.79389912,-86.82906784,-8377890.491,3961523.217,0,2,1,144.9555,126,-1,689,0,689,7,1445.9321,19.6753,274.8662,169.6384417,75.3952,7062.312,2.5529,15435.5,15491,0,35929,35929,4054.08,6658.74,6438,794,20084,19290,1910.2,"mainland","mainland",NA,NA,"",1693.4501,34.7098,-247.5753,135.0193,-8.0882,1629.2562,78.0101,1758.1429,177.8239,179,91.7179,88,-183.2459,-190,-312.6672,-352,3170.97,190.623,-1725.27,-20.9335,30.41,6.43083,2.9324,23.9678,35.4825428,35.22953033,1.535174624,1,19.1693,62,0.266826123,1,63,19,5.11487,19,4902270,39,0.462899074,0.042118429,0.14928855070138,-1.40903444407777,0.262171249516742
"ALG",1.3,12386.2,276584.516666667,9,"Algeria","Northern Africa","AFRICA","OWWest","Palearctic","Old World",2.3175e+12,2317502.041,7259494.464,28.16335741,2.632365947,254472.4283,3425082.508,0,1,1,557.7386,479,-48,2700,0,2700,14,79.9964,66.9825,6.1152,229.4684917,131.4124,7508.1387,50.4962,427.782,0,0,35877,35877,1695.16,2043.96,1401,0,21933,21933,2160.67,"mainland","mainland",NA,NA,"",126.1846,213.5089,-46.1239,15.9962,223.0403,88.8447,204.4652,163.9962,6.463,6,25.0432,25,-8.7952,7,-83.8794,-41,271.632,279.137,-191.624,-49.626,36.4053,14.116,1.36581,25.416,4.37684302,4.182107449,0.545847873,1,22.1329,30,0.137784927,17,47,22,3.04958,20,190586,15,0.000945441,0.000465419,-0.613546207068975,1.49851277127439,0.68379468599588
"AND",2.12884615384615,937.042857142857,937.042857142857,13,"Andaman Is.","Indo-China","ASIA-TROPICAL","OWEast","IndoMalay","Old World",5930963755,5930.963755,1132372.354,12.27981668,92.78133014,8952075.257,1554429.397,1,25,1,58.2196,41,-16,718,0,718,5,2922.9719,75.5446,69.7407,265.5384917,258.3032,669.7572,224.0162,29367.5,36232,0,38738,38738,12972.5,15579,17138,1130,18426,17296,3713.52,"volcanic","volcanic",135610.6521,135.6106521,"MYA",2811.7681,253.9907,107.756,11.8734,258.3342,4019.6372,249.8745,1604.0247,7.4799,8,16.0911,16,-1099.2472,-1018,1312.5962,1370,7368.73,298.009,-4439.57,-32.4239,0,0,0,0,1.961907171,1.968326032,0.253494821,1,17.4901,19,0.356782408,7,26,19,6.24016,13,7101,5,0.019305754,0.005468379,2.42786114529181,0.620528305050199,-1.07857161817245
"ANG",4.96923076923077,55962.2161904762,56498.6,14,"Angola","South Tropical Africa","AFRICA","OWWest","Afrotropics","Old World",1.24051e+12,1240509.361,6126254.098,-12.33575541,17.57181621,1695227.757,-1554985.049,0,19,1,1076.327,1139,-14,2542,0,2542,15,1020.4399,91.6658,4.4508,215.954125,187.6758,1862.7209,94.8465,14243.6,14302,0,32496,32496,5323.29,7658.6,7783,545,17395,16850,2544.89,"mainland","mainland",NA,NA,"",891.8901,190.8707,127.7702,25.1601,191.5655,789.1395,190.6695,995.1856,24.4629,25,25.3701,26,230.7105,249,24.2647,35,3327.59,250.788,-2309.02,-34.7466,27.7237,20.8117,2.89045,24.5073,6.09545633,5.700497389,0.737142889,1,10.0415,46,0.475803416,1,47,8,4.77778,8,5470300,43,0.123677447,0.003853349,0.709376423344739,1.78914375767028,-0.217266120825827
"ARI",0.6,4002.645,8440.86046511628,16,"Arizona","Southwestern U.S.A.","NORTHERN AMERICA","NewWorld","Nearctic","New World",2.94229e+11,294228.8807,2302403.647,34.29669616,-111.6575963,-10773225.91,4120112.905,0,1,1,1294.5059,1416,25,3709,25,3684,4,320.6145,49.2712,30.4446,150.1526917,56.9123,7527.0928,-24.1694,3265.98,2698,0,18417,18417,1896.09,1769.61,1486,226,10430,10204,899.016,"mainland","mainland",NA,NA,"",587.5712,66.2018,-266.9699,83.9805,43.0825,429.604,89.8276,745.8956,107.0984,109,60.3718,60,-109.041,-86,-425.3252,-407,1279.07,195.044,-958.424,-44.845,34.5745,4.91452,0.489429,19.0582,6.408322233,5.310468912,0.718475407,1,22.1819,39,0.291436261,1,40,23,6.46461,19,1446750,35,0.053014379,0.027521601,-1.09485444942929,0.594467781672526,0.637969769938348
"ARK",0.8,8076.2,18057.7411764706,17,"Arkansas","Southeastern U.S.A.","NORTHERN AMERICA","NewWorld","Nearctic","New World",1.37546e+11,137545.6345,1701670.492,34.90084347,-92.44235749,-8919596.202,4186449.603,0,1,1,165.4018,104,18,832,18,814,6,1263.4662,18.317,255.9293,156.9042,48.2229,8084.8101,-25.1837,12849.1,14052,0,23294,23294,3437.55,5469.65,5498,839,11406,10567,1075.12,"mainland","mainland",NA,NA,"",1785.1471,-42.5277,-521.7299,199.4686,-69.9964,1471.9913,-14.5579,2098.7449,226.9356,227,171.4942,172,-208.5516,-208,-835.2469,-773,2587.36,184.697,-1324.04,-27.7799,32.859,4.366,2.74671,22.6806,54.3699645,54.83714485,1.710216006,1,18.3134,62,0.244442321,1,63,19,4.47657,21,4476160,45,0.422551038,0.029417104,-0.264565688012698,-1.382306524012,0.336728361602836
"ASS",2.395,73235.6666666667,107581.274157303,22,"Assam","Indian Subcontinent","ASIA-TROPICAL","OWEast","IndoMalay","Old World",1.71289e+11,171289.3543,2983735.759,25.48271994,92.85194347,8958665.048,3145187.498,0,40,1,464.0418,209,0,3134,0,3134,7,2500.3132,85.664,50.0547,225.1418167,168.6252,3721.4417,95.2841,19331.8,19205,0,28480,28480,7153.56,9476.54,9094,771,15813,15042,2776.22,"mainland","mainland",NA,NA,"",2623.05,197.0592,-122.6883,28.1174,197.3881,2613.3511,197.2181,2635.2393,27.7811,28,28.0532,29,-111.9088,-147,-134.3811,-91,4986.34,212.382,-2486.8,12.8167,28.09,11.5013,3.54591,12.9635,4.89132611,2.706121087,0.466330707,1,28.9115,44,0.152295453,1,45,29,4.40309,29,9089250,38,0.479153934,0.459700146,1.28793639530449,0.770606649222976,-1.33607828291668
