"LEVEL_3_CO","meanFruitLength","curr_meanBodySize","presNat_meanBodySize"
"AFG",1.3,6.7649966701227,6.72337748208971
"AGE",1.94545454545455,5.38113623663284,5.33052628918851
"AGW",1.61666666666667,5.59462472669825,5.54686829703696
"ALA",1.4875,5.57346128540628,5.79119433549537
"ALG",1.3,7.16739252937159,8.28342220884747
"AND",2.12884615384615,6.13975474705693,6.13975474705693
"ANG",4.96923076923077,6.30338747583142,6.31415593689836
"ARI",0.6,5.27802313428875,5.61732846850005
"ARK",0.8,5.69607313022901,6.24256389425964
"ASS",2.395,7.13421418166571,7.44706383375296
"BAH",1.02375,3.53934746607174,3.53934746607174
"BAL",1.3,4.78662293283278,4.78662293283278
"BAN",2.87894736842105,6.98633507403937,7.57127392611752
"BEN",6.16071428571429,6.91075864928487,7.09814741893972
"BER",1.7,NA,NA
"BIS",3.60095238095238,5.30359715866133,5.30323099009659
"BKN",7.41428571428571,7.67606486238459,7.86784115429815
"BLZ",1.58175,4.76150473285821,4.76150473285821
"BOL",2.74493506493506,4.91189375076082,4.91189375076082
"BOR",1.94833992094862,6.10392156181471,6.10392156181471
"BOT",4.2,6.55071132787046,6.57861426262559
"BUR",5.38,6.47310337522899,6.51600509113716
"BZC",3.16092307692308,5.0938573294705,5.0938573294705
"BZE",3.63543209876543,5.12940066287736,5.12615958000958
"BZL",3.43394736842105,5.22311180941104,5.20154874684963
"BZN",3.0480608974359,5.38045869972215,5.38045869972215
"BZS",2.4475,5.48346338236324,5.48346338236324
"CAB",4.14615384615385,7.00153878563962,6.97950753150466
"CAF",4.76304347826087,6.94116353618398,6.94116353618398
"CAL",0.6,5.43951069604852,5.7278479859568
"CAY",0.983333333333333,3.16897891671979,4.79129473444379
"CBD",2.856875,6.76282212648808,6.94682041738421
"CHA",7.0625,7.68957228637596,7.8150306296858
"CHC",2.22448717948718,6.54845273426648,6.82812518840098
"CHH",2.29019230769231,6.66587646462105,6.75184786506821
"CHS",1.90794117647059,6.18507879026472,6.79140971484058
"CHT",2.15,7.11765675273133,7.32107158193046
"CLC",3.75,5.10017139044701,5.10017139044701
"CLM",2.55461936936937,5.12267651455696,5.13762270353959
"CMN",4.2969696969697,6.49988054883714,6.51174012562964
"CNY",1.75,6.45963666636708,7.72213358529871
"COM",3.125,5.42957336668245,5.42957336668245
"CON",4.09375,6.87080168234354,6.96142124885215
"COO",0.6,NA,NA
"COS",1.48001923076923,4.53093457977099,4.53093457977099
"CPI",1.1,NA,NA
"CPP",4.13333333333333,6.10041585102326,6.11708763877152
"CPV",4.2,7.8025116482919,7.8025116482919
"CRL",4.896875,4.59418568878384,4.89270349640954
"CTM",1.3,NA,NA
"CUB",1.46162790697674,3.9297224336419,4.17484678557754
"CVI",2,NA,NA
"DJI",2.8,8.01144455614764,8.4511683637137
"DOM",1.49086956521739,3.57869898655005,4.27846453501403
"EAI",1.5,7.6666587287164,7.6666587287164
"ECU",2.26399206349206,4.95868066002051,4.95868066002051
"EGY",5.25,6.9007136250757,8.61232773215232
"EHM",2.32037037037037,7.02760627802363,7.43391103556576
"ELS",2.32666666666667,4.74363086905224,4.74363086905224
"EQG",2.79666666666667,6.60299307274294,6.60299307274294
"ERI",3.95,8.19291372517943,8.31830731685903
"ETH",6.58,7.0873473275798,7.12396040070885
"FIJ",2.57,4.31912635015403,4.31912635015403
"FLA",1.18090909090909,6.7239878825723,6.90947811223699
"FRA",1.3,6.51652305653562,6.7231422118346
"FRG",2.47482142857143,4.65906149461656,4.65906149461656
"GAB",3.40961538461538,6.72597774276145,6.72597774276145
"GAM",6.665,7.51626043242228,7.78240905279121
"GEO",1.71666666666667,5.48601692686602,5.6721116368062
"GGI",5.71875,5.83465743077118,5.83465743077118
"GHA",5.04705882352941,6.70502959851612,6.80810935541966
"GNB",6.35,7.69885455934222,7.75735193223695
"GST",4.15,7.84188780714191,7.84188780714191
"GUA",1.38031746031746,4.54210169975684,4.54210169975684
"GUI",5.38636363636364,6.91070834003757,6.9756477588185
"GUY",2.61703703703704,4.54254079867355,4.54254079867355
"HAI",1.59826086956522,3.57869898655005,4.27846453501403
"HAW",3.18125,8.99806257397228,NA
"HON",1.60542372881356,4.63612515144149,4.63612515144149
"IND",2.6175,7.31564741664969,7.40598272378447
